NO,NOx,CO,NO2,O3,PM10,PM2.5,SO2,Class
3.6,30,0.46,27,26,35,15,3.1,0
11,45,0.9,35,18,34,19,2.9,0
11,45,0.9,33,22,42,18,3.1,0
7.5,38,0.6,31,29,44,12,2.9,0
4.4,26,0.44,22,39,48,15,3,0
4.3,23,0.41,19,43,43,17,2.5,0
3.9,20,0.39,16,47,35,15,1.6,0
3.4,18,0.36,15,48,34,14,1.7,0
3.9,23,0.39,19,44,31,14,3.8,0
3.3,23,0.37,20,42,28,13,5.8,0
3.1,30,0.47,27,37,29,14,6.4,0
2.8,30,0.54,27,38,37,15,3.1,0
2.9,28,0.58,25,39,35,12,1.6,0
2.8,30,0.59,28,37,27,11,1.6,0
2.4,29,0.55,26,38,27,9,1.5,0
2,25,0.5,23,41,33,10,1.5,0
1.7,17,0.4,15,50,34,10,1.6,0
1.1,16,0.35,14,51,31,10,1.6,1
1.1,11,0.28,10,55,33,10,1.6,1
1.2,9.3,0.24,8.1,55,34,10,1.7,1
0.9,9,0.22,8.1,54,31,10,1.7,1
1.6,9.3,0.23,7.8,54,32,10,1.7,1
1.1,9.5,0.23,8.4,54,34,10,1.7,1
1.1,11,0.25,10,54,35,9,1.9,1
2.4,21,0.38,19,46,40,13,2.2,0
4.4,32,0.71,27,39,44,16,2.3,0
6,33,0.72,27,41,45,17,2.6,0
5.4,33,0.6,27,39,44,16,3,0
6.8,31,0.54,24,41,39,12,2.7,0
4.9,25,0.52,20,45,37,11,2.4,0
4.1,21,0.49,17,46,31,10,2.7,0
4.2,21,0.44,17,46,27,10,6.6,0
4.6,23,0.46,18,44,33,15,3.2,0
4.6,26,0.5,22,38,38,12,2.3,0
4.5,29,0.55,24,35,38,13,2.1,0
3.5,33,0.72,29,28,39,15,2.1,0
3.2,36,0.89,33,25,38,12,2.2,0
2.5,31,0.75,29,30,35,14,2,0
2.3,29,0.65,27,33,40,15,2,0
2.5,32,0.73,30,28,45,15,2.1,0
2.8,32,0.73,30,28,48,17,2.3,0
1.3,24,0.56,23,34,53,15,2.4,1
1.7,23,0.5,21,34,50,15,2.2,0
1.6,20,0.45,18,35,43,16,1.8,0
1.4,19,0.46,17,29,43,15,1.8,0
-0.1,25,0.5,25,14,42,15,2.6,0
2.8,33,0.55,30,1.7,43,16,6,0
9.1,38,0.62,28,1.5,48,19,5.8,0
14,42,0.68,29,3.6,46,18,4.4,0
11,38,0.93,27,13,39,18,2.2,0
12,45,1.1,33,15,34,19,2.2,0
11,47,0.94,36,26,44,20,2.6,0
8.6,35,0.61,27,30,49,24,3.6,0
6.2,28,0.5,21,35,46,20,2.7,0
3.4,20,0.44,16,45,43,17,3.5,0
6.4,30,0.44,23,37,49,15,6.2,0
3.6,26,0.42,23,34,40,18,5.9,0
2.6,27,0.42,24,36,26,19,7.8,0
3.1,30,0.57,27,36,29,19,5.8,0
3.1,34,0.69,31,30,38,19,3.6,0
2.9,34,0.68,31,26,42,21,4.1,0
2.3,31,0.64,29,26,42,24,3.9,0
2.5,26,0.53,24,31,38,23,5.2,0
2,23,0.49,21,36,38,20,4.3,0
1.3,17,0.39,15,40,40,19,1.7,0
0.6,12,0.34,12,39,35,18,1.4,0
1.2,9.1,0.25,7.9,48,34,14,1.9,0
0.7,7.7,0.22,7.1,49,39,12,1.4,0
0.8,6.9,0.19,6,54,43,14,1.4,1
0.8,8.3,0.24,7.6,48,45,15,1.5,0
0.9,11,0.27,10,46,43,16,1.7,0
1.9,18,0.38,16,42,44,14,2.3,0
3.2,24,0.51,21,42,50,15,2.8,0
3.5,24,0.48,20,48,57,18,2.9,1
3.8,25,0.45,21,49,59,17,4.5,1
2.9,21,0.4,18,55,56,19,5,1
2.9,17,0.36,15,59,54,17,3.5,1
3.6,17,0.38,14,61,55,16,3.8,1
3.2,16,0.38,13,60,59,17,1.4,1
3.5,17,0.36,13,59,54,16,1.5,1
3.3,20,0.42,17,54,51,20,1.8,1
2.9,20,0.42,17,51,56,20,1.7,1
1.9,17,0.44,16,51,56,19,1.6,1
1.4,18,0.45,17,50,51,18,1.5,1
1.3,19,0.44,17,50,44,14,1.6,0
1.8,22,0.47,20,47,43,16,1.5,0
1.4,18,0.45,17,51,45,17,1.5,1
1.3,19,0.47,17,50,42,12,1.5,0
1.1,16,0.39,14,52,39,12,1.7,1
1,12,0.33,11,56,40,15,1.8,1
0.8,9.6,0.28,8.8,59,42,13,1.6,1
0.9,9.2,0.26,8.3,60,42,14,1.7,1
1,7.9,0.25,7,61,43,19,1.7,1
0.8,8.1,0.27,7.3,59,46,18,1.7,1
0.9,10,0.29,9.4,56,48,17,1.9,1
2,15,0.36,13,51,49,20,2.3,1
3,17,0.4,14,50,46,18,1.9,0
2.9,17,0.4,14,51,48,14,1.5,1
3.5,17,0.41,13,52,45,16,1.4,1
3.6,14,0.37,10,55,35,18,1.3,1
2.9,13,0.38,9.6,58,32,16,1.3,1
2.3,11,0.36,8.9,57,29,16,1.2,1
3.2,15,0.41,12,52,31,12,1.2,1
3.9,18,0.43,14,48,35,11,1.5,0
3.6,19,0.47,16,45,37,16,1.3,0
4.1,24,0.52,19,39,32,18,1.3,0
3.3,26,0.66,23,32,29,20,1.3,0
2.6,27,0.72,25,27,34,20,1.3,0
3,25,0.63,22,27,29,15,1.3,0
5.2,33,0.69,27,19,24,13,1.3,0
5,31,0.67,26,20,23,14,1.3,0
3,26,0.64,23,21,23,15,1.4,0
1.9,22,0.59,20,19,26,15,1.6,0
1.4,21,0.58,20,15,28,14,1.5,0
4.9,34,0.75,29,2.2,31,13,2.4,0
7.6,35,0.64,27,1,38,15,5.3,0
6.4,27,0.54,21,2,42,17,5.2,0
3.1,24,0.52,21,3.8,39,20,3.7,0
3.2,23,0.53,20,5.2,38,20,3.6,0
17,40,0.71,23,2.6,40,20,5.2,0
13,33,0.73,19,13,50,27,5,0
3.6,15,0.48,12,36,64,29,4.2,1
4.6,23,0.61,18,43,71,28,6.7,1
4.5,22,0.61,18,61,79,32,5.5,1
2.3,13,0.47,11,81,83,32,4.9,1
1.9,13,0.46,11,86,71,31,3.7,1
3.1,17,0.46,14,73,73,31,3.3,1
2.4,16,0.43,14,73,77,30,3.6,1
2.2,15,0.47,13,69,77,34,3.9,1
2.9,22,0.55,19,56,78,36,4.8,1
3.4,33,0.88,29,41,81,36,3.4,1
2.4,41,1.18,39,29,75,34,3.3,1
4.1,44,1.17,40,22,56,30,2.9,1
5.2,38,0.99,33,18,46,27,3,0
2.8,30,0.88,27,17,43,27,2.6,0
4.5,40,1.13,36,7.8,46,31,2.3,0
4.7,44,1.12,39,2.7,64,34,5.8,1
4.2,39,1.04,35,2.7,65,32,5.1,1
5.6,36,0.64,30,2.4,62,34,9.3,1
3.2,43,0.73,40,3.1,82,44,15,1
1.4,36,0.62,34,6.5,100,53,12,1
1.4,27,0.56,26,14,111,56,13,2
1.4,20,0.54,19,20,108,51,6.7,2
5.6,31,0.7,26,7.7,88,44,6.1,1
6.6,30,0.76,24,21,88,47,10,1
7,30,0.82,23,32,97,52,9.7,1
4.6,19,0.52,15,43,88,45,5.2,1
3.7,19,0.49,16,50,78,36,5.8,1
3.1,18,0.48,15,58,72,32,4.1,1
2.3,13,0.43,11,61,66,29,5.4,1
2.1,9.1,0.3,7,40,54,25,3.1,1
3.3,14,0.34,11,34,46,22,4.9,0
3.5,14,0.32,10,29,48,20,4.2,0
3.7,17,0.38,13,25,48,18,3.5,0
2.9,20,0.47,17,23,51,20,3.4,1
2,17,0.47,15,23,51,23,3.5,1
1.7,19,0.45,17,28,57,28,5.7,1
1.9,26,0.54,24,17,67,32,8.7,1
3,26,0.56,23,10,61,30,4.6,1
2.3,21,0.51,19,11,50,26,5.6,0
2.5,22,0.5,19,8.6,46,25,7,0
2.7,22,0.52,20,5.8,46,22,3.2,0
2.7,23,0.52,21,3.7,46,21,2.9,0
1.9,23,0.43,22,6.4,48,24,3.6,0
1.4,11,0.33,9.9,23,56,30,2.7,1
0.7,17,0.36,17,12,65,33,7.8,1
2,22,0.4,20,6.1,67,32,8.6,1
6,28,0.46,22,5.8,65,36,10,1
10,33,0.75,23,4.5,64,36,9.5,1
11,31,0.74,20,9.5,61,29,5.8,1
4.8,18,0.41,13,23,56,27,3.7,1
3.8,16,0.35,12,33,56,27,3.4,1
3.2,14,0.34,11,46,57,26,3.6,1
2.4,14,0.34,12,52,56,24,4.2,1
2.3,11,0.3,8.9,58,55,24,3.2,1
2.1,11,0.29,8.7,60,55,25,3.4,1
1.8,13,0.34,12,62,54,22,4.5,1
3.1,20,0.44,17,44,54,21,4.1,1
2.4,20,0.53,17,33,55,26,2.8,1
1.2,21,0.59,20,27,56,28,3.2,1
1.4,29,0.78,28,16,57,32,3.9,1
2.2,36,0.88,34,14,59,37,5.7,1
4.6,43,1.07,38,13,64,40,5.9,1
3.2,38,0.91,34,9.5,66,36,5,1
1.7,31,0.73,30,12,66,32,6.6,1
1.5,31,0.62,29,11,70,33,7.8,1
0.7,19,0.42,18,19,64,35,4.5,1
0.9,12,0.34,11,33,59,36,3.4,1
1.6,10,0.41,8.8,65,66,41,3.8,1
1.2,12,0.48,11,63,71,47,4,1
1.1,14,0.44,13,55,71,44,6.5,1
2.1,23,0.49,21,52,76,42,8,1
3.7,30,0.72,27,52,83,44,7.4,1
5.6,35,0.78,29,56,90,44,6.3,1
5.5,32,0.63,26,59,89,51,5.3,1
5.4,30,0.56,25,62,84,50,5.4,1
5.8,33,0.54,27,60,84,46,9.9,1
5.2,28,0.5,23,65,82,47,9.9,1
4.1,27,0.52,23,58,71,38,6.1,1
5.7,34,0.53,29,48,70,36,7.8,1
7.5,42,0.6,35,36,66,31,9.6,1
4.7,40,0.66,35,27,61,27,9,1
4.1,41,0.81,37,24,55,26,5.4,1
3.4,36,0.71,32,28,54,26,4,1
2,30,0.64,28,32,51,25,2.9,1
1.6,30,0.69,28,30,50,26,3.2,0
1.5,30,0.72,29,29,51,28,3.2,1
1.1,25,0.57,24,35,55,27,3.1,1
0.6,17,0.45,17,41,55,27,3,1
0.3,12,0.36,11,45,46,25,1.8,0
0.8,12,0.36,11,41,42,25,1.8,0
1.7,14,0.36,12,35,39,25,1.8,0
2,15,0.37,13,30,40,20,1.9,0
7.4,35,0.6,27,8.7,45,21,3.9,0
20,53,0.79,32,4,59,27,8.8,1
14,46,0.87,32,14,60,29,3.7,1
8.6,35,0.79,27,26,49,29,2.9,0
7.7,37,0.84,29,38,53,29,3.2,1
4.1,27,0.79,23,68,68,36,5.7,1
3.2,29,0.81,26,76,116,62,7.1,2
3.2,32,0.82,29,71,115,63,7.3,2
2.7,26,0.58,23,71,108,61,6.5,2
2.8,27,0.64,24,62,98,54,5,1
2.6,35,0.84,33,53,71,40,2.2,1
3.2,34,0.8,31,39,44,27,2,0
12,59,1.15,47,13,48,25,2.5,0
7.4,45,0.86,37,19,49,25,2.3,0
4.6,33,0.75,28,20,42,20,2,0
4.4,29,0.68,24,18,39,20,2.2,0
4,33,0.78,29,9.9,42,25,1.8,0
5.5,36,0.78,30,6.6,44,22,2,0
7.6,40,0.98,33,3.8,48,20,2,0
12,41,0.99,29,5,51,27,3.6,1
19,52,1.13,33,1,54,31,3.5,1
1.5,21,0.69,19,9.3,46,25,2.7,0
3.1,27,0.72,24,5.4,38,20,2.7,0
3.5,26,0.61,23,4.7,35,18,3.5,0
13,38,0.84,26,5,37,19,3.8,0
12,40,0.93,28,18,50,25,5.2,0
7.5,40,1.05,32,42,60,31,4.3,1
4.3,31,0.91,26,65,60,32,3.1,1
2.1,22,0.76,20,84,55,30,2.8,1
1.5,20,0.7,18,99,56,27,3.2,1
1.6,21,0.74,20,116,62,33,3.4,2
1.2,21,0.66,20,107,70,40,4.4,2
1.3,21,0.55,20,67,81,42,5.9,1
1.7,13,0.39,12,61,81,40,4.5,1
1.2,12,0.35,11,44,70,35,3.6,1
1.4,12,0.38,11,36,59,31,3.3,1
1,15,0.47,14,26,55,26,4.7,1
0.9,18,0.49,17,16,51,25,4,1
3.1,28,0.71,25,12,53,26,2.8,1
4.7,32,0.84,28,9.8,56,26,3.6,1
3,30,0.86,27,9.5,53,26,3.4,1
9.7,41,1.11,32,0.9,55,28,3.8,1
15,44,1.07,29,0.6,60,29,4.2,1
6,31,0.81,25,2.6,53,30,1.8,1
1.3,15,0.44,14,8.3,43,24,1.3,0
1.1,16,0.44,15,9.2,38,19,1.9,0
5,23,0.62,18,4.4,42,20,2.7,0
8,25,0.56,17,1.1,48,20,3.6,0
8.1,23,0.48,15,4.2,49,21,4,0
4.4,16,0.41,11,10,43,15,2.5,0
5.9,18,0.44,12,13,34,12,2.6,0
3.5,12,0.32,8.4,23,37,12,2.4,0
2.6,10,0.28,7.7,36,46,15,2,0
1.5,8.3,0.27,6.8,42,51,18,1.9,1
1.6,10,0.29,8.6,41,48,20,2.8,0
1.4,9.1,0.28,7.7,45,44,24,2.9,0
1.4,9,0.26,7.6,36,38,20,2.4,0
1.7,8.5,0.24,6.8,25,34,15,1.6,0
1.3,8.3,0.26,7,21,31,12,1.5,0
1.2,12,0.37,11,15,27,13,2,0
1.5,17,0.42,15,9.6,32,15,2.3,0
2.7,18,0.5,16,8.4,39,16,2.1,0
5.3,32,0.69,27,7.7,45,22,4.9,0
4.7,37,0.72,32,15,59,32,9.7,1
2,28,0.61,26,28,61,36,8.9,1
1.2,21,0.58,20,37,59,31,5.1,1
0.8,12,0.41,11,50,53,28,3.9,1
0.6,9.6,0.34,9,54,38,22,3.3,1
0.6,7.8,0.31,7.2,58,28,13,2.7,1
0.8,10,0.31,9.4,62,33,19,5.3,1
1.2,10,0.25,8.8,65,39,23,5.4,1
0.9,9.4,0.29,8.6,63,38,20,1.7,1
1.4,19,0.39,18,49,35,18,1.4,0
2.8,30,0.75,28,40,33,18,1.6,0
4.1,37,0.84,33,33,34,20,1.8,0
7.9,46,0.83,38,24,39,18,2.1,0
7.3,42,0.7,35,22,45,20,3.1,0
7,39,0.56,32,24,45,21,4.9,0
7.1,38,0.58,31,25,42,17,2.4,0
3.9,31,0.5,28,30,34,15,2.7,0
4.3,38,0.53,33,32,42,20,9.8,0
3.3,34,0.57,31,38,54,30,3.3,1
4,38,0.58,34,30,57,31,4.2,1
3.4,39,0.72,36,33,62,32,3.9,1
2.3,33,0.72,31,40,66,35,3.1,1
1.9,29,0.69,27,42,56,33,2.2,1
1.4,23,0.53,22,44,50,30,1.9,0
1.5,22,0.52,21,43,50,25,1.8,0
1.3,22,0.53,21,40,46,25,1.9,0
1.1,18,0.38,17,44,45,25,5,0
1,14,0.26,14,49,37,18,5.5,0
1,8.8,0.22,7.8,57,28,12,1.6,1
0.9,7.4,0.2,6.5,56,26,15,1.5,1
1.5,7.5,0.2,6,55,26,15,1.4,1
1.7,7.9,0.21,6.2,54,26,13,1.5,1
1.4,12,0.26,10,50,21,11,1.7,0
2.2,19,0.33,17,44,21,10,1.6,0
3,30,0.64,27,34,21,12,1.7,0
3.2,36,0.76,32,30,22,15,1.8,0
5.4,44,0.72,39,23,24,14,2,0
7.2,50,0.65,43,17,32,16,2.7,0
6,45,0.6,39,24,37,20,3,0
6.7,44,0.62,38,28,33,20,4.6,0
4.2,41,0.62,37,29,33,15,4.3,0
7.2,48,0.66,41,24,32,16,3.5,0
8.2,50,0.75,42,23,28,16,2.4,0
7,54,0.92,47,15,22,15,2.4,0
9.5,60,1.12,51,11,27,18,3.8,1
10,63,1.33,52,6.2,38,22,4.4,1
5.5,49,1.03,44,14,37,23,3.8,0
4.6,45,0.91,40,16,34,20,3.6,0
3.5,39,0.94,36,18,42,21,3.6,0
1.9,33,0.81,31,18,45,23,2.7,0
2.3,32,0.81,30,15,42,16,2.3,0
1.5,35,0.85,33,13,42,17,2.4,0
2.1,39,0.92,36,4.4,40,21,2.4,0
9.3,43,0.83,34,1.4,49,23,6.2,0
8.3,39,0.72,31,1.8,54,27,7.7,1
9.1,40,0.88,31,2,51,29,6.2,1
25,57,1.06,31,3.2,55,29,6.8,1
27,66,1.4,39,4.6,57,29,7.1,1
25,74,2.01,48,21,64,31,5,1
14,70,1.58,56,21,89,43,8.8,1
15,54,0.95,39,19,99,48,12,1
6.1,34,0.68,28,21,84,40,9.3,1
8,43,0.69,35,14,76,36,7,1
10,50,0.78,40,9.1,78,43,6.8,1
5.3,41,0.61,36,13,83,43,6.7,1
12,59,0.86,46,6.8,82,39,7.8,1
9.2,56,0.95,46,12,86,43,7.9,1
11,73,1.54,62,6.8,103,48,7.7,2
19,84,2.01,66,1.4,114,54,7.3,2
21,78,1.94,57,1.7,110,54,13,2
18,67,1.71,49,1.4,109,50,8.1,2
2.3,39,0.99,37,11,104,49,10,2
10,53,1.26,43,2.4,100,46,9.7,1
11,54,1.23,43,1.4,100,42,9.7,1
17,60,1.35,43,0.6,101,46,10,2
25,65,1.45,41,0.7,103,50,13,2
37,72,1.68,36,0.7,100,51,6.6,1
33,65,1.46,32,0.7,100,46,8.2,1
39,65,1.32,26,0.8,90,43,8,1
31,53,0.99,22,0.8,81,38,12,1
29,48,0.82,19,1.4,68,31,10,1
26,56,1.3,30,3.4,70,37,18,1
8.5,33,0.94,24,15,73,36,4.1,1
2.1,17,0.48,15,28,71,32,2.9,1
3.5,20,0.41,17,30,71,35,2.9,1
3.1,20,0.39,17,34,67,31,3.5,1
2.4,18,0.41,16,47,64,32,3.7,1
0.9,16,0.43,15,60,65,38,3.3,1
1.1,19,0.47,18,59,71,41,3,1
5.1,34,0.68,29,40,71,39,2.6,1
8.4,43,0.63,34,30,73,40,10,1
4.6,35,0.59,30,29,67,37,10,1
3,37,0.65,34,23,54,31,14,1
1.4,27,0.7,26,30,48,28,2,0
1.1,27,0.7,26,28,43,20,2.1,0
0.6,29,0.73,28,26,38,15,2.7,0
0.3,27,0.71,26,27,35,17,3.2,0
0.2,19,0.47,19,34,34,18,3.9,0
-0.3,14,0.39,14,38,32,19,3.7,0
-0.3,10,0.35,11,40,24,18,2.4,0
-0.2,9.9,0.33,10,40,22,15,2,0
0.5,11,0.32,11,39,26,14,2,0
0.6,11,0.34,10,38,22,11,2,0
0.5,13,0.37,12,34,24,10,2.1,0
3.5,26,0.53,23,24,29,10,2.2,0
6.2,30,0.82,24,26,31,10,2.2,0
6.5,33,1,26,26,33,11,2.3,0
7.3,37,0.97,30,30,32,10,2.5,0
4.8,39,0.98,34,31,31,13,2.9,0
1.9,25,0.86,23,56,44,22,4.8,1
2.5,28,0.75,26,64,72,38,11,1
3.2,43,0.9,40,43,109,53,11,2
3.8,49,0.84,45,28,125,59,7.9,2
4.7,48,0.88,44,28,0,57,6.6,1
5.7,57,1.12,51,17,0,52,4.9,1
3.8,43,0.96,39,15,92,45,3.8,1
2.4,35,0.83,32,14,70,35,4.4,1
8,49,1.21,41,3.6,55,27,4.4,1
9.6,47,1.2,38,5,60,25,3.5,1
36,77,1.97,42,1.7,60,28,4.9,1
17,52,1.41,35,2.1,61,29,3.9,1
21,51,1.33,30,0.7,59,24,4.8,1
38,66,1.39,27,0.7,61,25,5.7,1
36,62,1.19,26,0.5,62,26,5.7,1
34,58,1.12,23,0.6,56,25,6.1,1
42,66,1.22,24,0.6,57,25,5.5,1
41,65,1.12,24,0.6,62,26,9.9,1
22,42,0.73,20,0.7,59,25,8.1,1
26,45,0.68,19,1.9,55,25,8.8,1
28,51,0.87,24,5.7,61,28,8.5,1
11,34,0.65,23,17,60,30,5.3,1
3.1,19,0.43,16,36,51,28,7.2,1
1.7,15,0.39,14,51,49,24,4.7,1
1.7,21,0.55,20,54,57,25,5.1,1
1,11,0.31,10,55,55,24,3.7,1
1.4,13,0.3,11,44,48,18,3.1,0
1.3,18,0.37,17,34,46,22,3.4,0
1.6,21,0.48,20,25,45,25,2.7,0
2.9,25,0.53,22,24,40,19,1.9,0
3.7,32,0.74,28,17,28,13,1.8,0
1.9,29,0.69,27,17,23,13,1.7,0
1.4,33,0.66,31,26,33,19,8.4,0
0.6,29,0.64,29,40,44,28,8,0
0.6,29,0.58,28,41,46,28,10,0
0.8,26,0.64,25,39,45,26,3.3,0
0.2,22,0.57,21,40,44,24,2.2,0
0.1,15,0.43,15,45,42,20,2,0
0.2,13,0.34,13,45,39,20,3.4,0
0.1,13,0.31,13,42,44,21,3.1,0
0.8,10,0.26,9.4,45,42,18,2.3,0
0.5,9.8,0.3,9.3,44,34,15,2.2,0
0.8,11,0.32,10,43,33,16,3.4,0
2.8,22,0.37,19,33,38,22,11,0
3.7,23,0.42,19,32,39,23,9.9,0
3.5,20,0.4,16,38,28,18,4,0
3.3,20,0.4,17,41,17,12,4.9,0
5,23,0.4,18,40,18,10,8,0
5.1,21,0.4,15,46,23,12,6,0
3.8,18,0.41,14,50,22,10,3.8,0
4,19,0.43,15,47,18,6,5,0
4.5,20,0.43,16,42,21,7,5.5,0
4.7,23,0.47,18,34,29,10,8.2,0
6.4,28,0.52,21,22,34,11,8.3,0
7.7,34,0.69,26,12,33,16,8.7,0
8.9,38,0.81,29,4.6,33,21,11,0
10,38,0.75,28,2.4,35,18,8.8,0
7.4,41,0.79,33,3,48,20,8.2,0
2.5,35,0.72,33,6.7,64,27,6.9,1
3.4,35,0.66,31,5.7,71,33,5.9,1
1.1,28,0.58,26,8,68,32,5.2,1
1.9,28,0.55,26,6.1,71,31,5.4,1
1.6,26,0.54,25,5.3,73,36,6.4,1
1.6,23,0.5,22,5.7,72,36,4.5,1
2.3,25,0.47,23,5.1,75,30,5.3,1
2.6,22,0.46,19,5.2,77,30,4.2,1
3.6,24,0.55,21,3.7,78,32,4.4,1
15,37,0.68,21,2.6,81,34,7.9,1
16,38,0.92,22,5.7,79,36,6.2,1
15,44,0.97,28,8.5,76,37,7.5,1
12,40,0.76,29,13,71,35,7.8,1
11,42,0.69,31,20,66,31,7.3,1
10,48,0.89,38,31,68,30,4.8,1
7.7,42,0.92,34,40,62,29,3,1
13,37,0.65,24,14,44,20,2,0
11,32,0.59,22,14,28,10,1.9,0
18,46,0.78,28,8.7,28,9,2.1,0
19,49,0.92,30,7.7,32,10,2.2,0
11,43,1,32,12,28,12,2.3,0
13,60,1.55,47,3.4,32,15,3.2,0
39,90,2.4,50,1.4,51,23,7.5,1
20,72,1.69,52,1.2,78,33,17,1
19,72,1.56,53,1.1,105,45,19,2
35,82,1.74,47,0.8,114,48,13,2
16,44,0.9,28,13,97,38,7.2,1
2,14,0.22,12,34,64,24,3.6,1
1.9,13,0.2,11,32,45,19,4.9,0
1.8,12,0.21,9.8,26,42,20,5,0
2.6,12,0.2,9.3,28,33,15,3.2,0
2.6,13,0.24,10,27,23,11,2.1,0
2.5,18,0.32,15,19,20,9,2.7,0
4.1,22,0.45,18,25,23,15,2.7,0
6,30,0.63,24,23,24,14,2,0
9.4,44,0.83,34,17,23,8,2.9,0
11,43,0.69,32,20,29,10,3.1,0
6.9,29,0.51,22,32,43,17,2,0
7,30,0.52,24,34,60,22,2.9,1
6.3,28,0.5,21,41,75,27,3.5,1
5.4,26,0.47,21,46,82,28,3.6,1
6.1,31,0.49,25,46,83,27,5.4,1
5.2,35,0.51,30,42,83,27,7.6,1
6,45,0.61,39,34,84,28,5.5,1
7.3,54,0.75,47,25,83,31,13,1
6.6,55,0.75,48,23,79,29,16,1
5.1,47,0.82,42,25,64,26,2.2,1
7.9,58,1.02,51,11,49,24,2.2,1
6.1,48,0.95,42,15,50,21,2,0
4,39,0.8,35,19,44,20,1.8,0
3.5,32,0.62,29,23,37,18,1.6,0
3,39,0.73,36,18,35,13,1.4,0
2.6,27,0.54,25,22,33,11,2.1,0
2.6,20,0.39,18,22,28,13,2.2,0
1.5,16,0.34,15,20,26,15,2.2,0
1.7,16,0.36,15,18,26,13,2.2,0
2.4,23,0.47,21,13,26,10,2,0
7.2,33,0.57,25,9.6,28,12,2.6,0
14,46,0.91,31,16,34,16,3,0
16,68,1.6,52,35,46,22,3.3,1
8.6,65,1.55,57,70,59,26,3.3,1
3.5,29,0.75,26,89,55,23,3.3,1
2.8,20,0.47,17,87,40,20,3.1,1
2.4,28,0.57,25,106,46,25,6.2,2
3.1,23,0.44,20,95,59,31,5.4,1
2.2,23,0.43,21,103,62,31,7.1,2
2.7,24,0.44,21,99,68,36,7.3,1
2.5,30,0.55,28,82,70,36,7.5,1
2.2,37,0.65,35,59,67,37,8.9,1
1.9,36,0.73,34,60,70,40,8.3,1
2,43,1.04,41,43,76,40,8.5,1
2.9,63,1.65,61,17,84,38,6.1,1
13,82,1.76,69,2.5,92,40,6.9,1
6.6,63,1.54,56,4.2,104,46,29,2
6,59,1.17,54,2,108,52,13,2
6.5,57,1.19,50,2.8,100,50,8.9,1
4.2,49,1,45,2.2,98,47,7.5,1
4.4,46,0.78,42,1.7,94,45,8.2,1
8.3,46,0.7,38,0.8,88,45,7.5,1
7.5,42,0.78,35,1.2,86,47,7.4,1
15,47,0.84,32,1.5,82,46,8.8,1
22,59,1.07,37,4.3,83,43,6.8,1
13,50,1.24,37,19,79,43,4.6,1
8.3,41,1.23,33,42,76,39,3.8,1
3.9,28,0.82,24,67,73,31,3.1,1
0.8,18,0.51,17,68,61,30,6.4,1
2.3,18,0.42,16,73,67,29,5.5,1
1.7,16,0.36,14,69,67,29,4.7,1
1.5,14,0.29,13,48,56,26,3.1,1
1.6,26,0.46,25,35,51,28,8.9,1
1.4,20,0.42,18,23,48,25,4.3,0
1.8,21,0.49,19,17,39,16,5,0
2.1,32,0.81,30,13,44,18,5.8,0
3.3,44,1.15,41,13,56,28,4.5,1
9.1,45,1.22,36,5.1,59,33,5.1,1
23,54,1.28,32,0.8,57,29,16,1
17,55,1.27,38,0.8,67,31,4.7,1
6.8,34,0.81,27,5.3,68,36,5.2,1
2,20,0.54,18,10,66,35,3.1,1
0.9,12,0.39,11,16,59,31,2.6,1
18,37,0.57,19,0.7,55,28,6.8,1
9.4,27,0.41,18,0.5,57,27,6.9,1
18,35,0.45,17,0.8,59,24,9.2,1
15,33,0.6,18,4.8,56,26,4.9,1
20,50,1.05,29,8.8,53,30,4.4,1
15,53,1.37,38,26,61,34,4.9,1
4,31,0.88,27,52,70,37,7.8,1
2.2,16,0.37,14,49,59,29,3.9,1
2,13,0.33,11,62,49,20,3.4,1
1.7,14,0.37,13,68,53,22,4.2,1
1.4,13,0.3,11,66,55,25,3.3,1
3.5,19,0.33,16,40,56,19,3.4,1
2.7,18,0.4,16,29,53,17,5.1,1
1.8,21,0.46,19,21,54,20,9.2,1
1.9,25,0.58,23,15,55,24,11,1
2.6,26,0.52,24,11,54,26,15,1
2.9,26,0.55,23,8.4,54,28,9.4,1
8.5,38,0.73,29,1.6,56,26,6.5,1
7.7,36,0.76,28,1.9,57,20,5.3,1
10,35,0.84,25,0.9,57,22,3.8,1
21,44,0.84,23,0.6,55,25,6.7,1
19,40,0.7,21,0.6,56,24,8.8,1
27,48,0.58,22,0.6,56,22,9.1,1
20,41,0.57,22,0.7,54,19,7.8,1
12,33,0.53,21,2.3,49,21,5,0
13,32,0.52,19,7.1,45,25,4.7,0
11,32,0.59,21,18,40,20,3.7,0
5.2,23,0.47,17,32,38,15,3.6,0
3.5,18,0.34,15,39,37,15,4.5,0
2.5,16,0.3,13,41,34,16,5,0
2,13,0.28,11,47,33,13,3.9,0
0.9,10,0.25,9.5,52,29,12,3.3,1
1.3,11,0.24,9.5,51,29,15,3,1
1.5,12,0.25,11,44,34,18,3.6,0
1.4,12,0.25,11,43,33,15,2.9,0
1.2,17,0.31,16,29,32,10,4.5,0
1.5,18,0.41,16,21,34,10,3.3,0
2,20,0.43,18,12,35,14,3.5,0
1.6,19,0.45,17,12,37,15,3.5,0
1.5,17,0.37,16,12,35,16,4,0
0.4,13,0.32,13,16,31,15,3.7,0
0.9,19,0.37,18,9.9,35,13,8.6,0
